Crop,All crop %
Coconut,92.07%
Sugarcane,3.92%
Rice,1.14%
Wheat,0.94%
Potato,0.30%
Cotton(lint),0.21%
Maize,0.19%
Jute,0.13%
Banana,0.10%
Soyabean,0.10%
Bajra,0.09%
Jowar,0.08%
Groundnut,0.08%
Tapioca,0.07%
Gram,0.07%
Rapeseed &Mustard,0.06%
Onion,0.05%
Oilseeds total,0.03%
Total foodgrain,0.03%
Arhar/Tur,0.03%
Ragi,0.02%
Paddy,0.02%
Urad,0.02%
Barley,0.02%
Arecanut,0.01%
Moong(Green Gram),0.01%
Dry chillies,0.01%
Castor seed,0.01%
Pulses total,0.01%
Sunflower,0.01%
Masoor,0.01%
Mango,0.01%
Guar seed,0.01%
Mesta,0.01%
Sesamum,0.01%
Tobacco,0.01%
Dry ginger,0.01%
Turmeric,0.01%
Garlic,0.01%
Peas & beans (Pulses),0.01%
Sweet potato,0.01%
Khesari,0.00%
Small millets,0.00%
Other  Rabi pulses,0.00%
other oilseeds,0.00%
Tomato,0.00%
Other Kharif pulses,0.00%
Horse-gram,0.00%
Papaya,0.00%
Coriander,0.00%
Moth,0.00%
Safflower,0.00%
Cashewnut,0.00%
Linseed,0.00%
Orange,0.00%
Pineapple,0.00%
Black pepper,0.00%
Grapes,0.00%
Brinjal,0.00%
Niger seed,0.00%
Other Cereals & Millets,0.00%
Rubber,0.00%
Other Vegetables,0.00%
Atcanut (Raw),0.00%
Citrus Fruit,0.00%
Ginger,0.00%
Lemon,0.00%
Pome Fruit,0.00%
Other Fresh Fruits,0.00%
Sannhamp,0.00%
Bhindi,0.00%
Cabbage,0.00%
Sapota,0.00%
Cowpea(Lobia),0.00%
Beans & Mutter(Vegetable),0.00%
Arcanut (Processed),0.00%
Cardamom,0.00%
Samai,0.00%
Tea,0.00%
Coffee,0.00%
Korra,0.00%
Jute & mesta,0.00%
Cashewnut Raw,0.00%
Drum Stick,0.00%
Pome Granet,0.00%
Jack Fruit,0.00%
Colocosia,0.00%
Varagu,0.00%
Blackgram,0.00%
Rajmash Kholar,0.00%
Cauliflower,0.00%
Lentil,0.00%
other misc. pulses,0.00%
Kapas,0.00%
Cashewnut Processed,0.00%
Bean,0.00%
Ricebean (nagadal),0.00%
Carrot,0.00%
Redish,0.00%
Cond-spcs other,0.00%
Perilla,0.00%
Jobster,0.00%
Bottle Gourd,0.00%
Turnip,0.00%
Bitter Gourd,0.00%
Apple,0.00%
Ash Gourd,0.00%
Beet Root,0.00%
Ber,0.00%
Cucumber,0.00%
Lab-Lab,0.00%
Litchi,0.00%
Other Citrus Fruit,0.00%
Other Dry Fruit,0.00%
other fibres,0.00%
Peach,0.00%
Pear,0.00%
Peas  (vegetable),0.00%
Plums,0.00%
Pump Kin,0.00%
Ribed Guard,0.00%
Snak Guard,0.00%
Water Melon,0.00%
Yam,0.00%
